,head_actual,word_count,len_text,end_sym,len_avg_word,no_of_stop,numeric_value,no_of_sym,cos_sim,case
3278,0,8,55,1,6,2,0,2,0,3
3279,0,6,37,1,6,1,0,2,0,3
3280,0,12,69,1,5,4,0,4,1,3
3281,0,12,75,1,6,4,0,2,1,3
3282,1,1,8,0,8,0,0,0,0,0
3283,0,5,37,0,7,0,0,2,0,2
3284,0,2,16,0,8,0,0,0,0,2
3285,0,30,182,1,6,1,0,18,1,3
3286,0,4,28,1,7,1,0,3,0,2
3287,0,4,29,0,7,0,0,1,0,2
3288,0,30,217,1,7,12,0,3,1,3
3289,1,2,16,0,8,0,0,0,1,0
3290,1,2,20,0,10,0,0,0,0,2
3291,0,1,1,1,1,0,0,1,0,3
3292,0,4,26,1,6,0,0,5,0,2
3293,1,1,11,0,11,0,0,0,1,2
3294,0,1,1,1,1,0,0,1,0,3
3295,0,1,6,0,6,0,0,0,0,2
3296,1,2,15,0,7,0,0,0,0,2
3297,0,1,1,1,1,0,0,1,0,3
3298,0,1,3,0,3,0,0,0,0,2
3299,1,2,14,0,7,0,0,0,1,2
3300,0,1,1,1,1,0,0,1,0,3
3301,0,1,9,0,9,0,0,0,0,2
3302,1,1,3,0,3,0,0,0,0,2
3303,0,1,1,1,1,0,0,1,0,3
3304,0,1,4,0,4,0,0,0,0,2
3305,1,6,80,0,13,0,20,14,0,2
3306,0,3,18,0,6,0,0,0,0,0
3307,0,3,34,0,11,0,3,5,0,2
3308,0,2,18,0,9,0,10,1,0,2
3309,1,3,15,1,5,0,0,1,1,2
3310,0,13,102,0,7,5,0,1,1,2
3311,0,19,109,0,5,11,1,1,1,3
3312,0,21,113,1,5,12,0,2,1,1
3313,1,3,22,1,7,0,0,1,1,2
3314,0,17,85,0,5,8,0,0,1,2
3315,0,2,23,1,11,0,0,1,0,1
3316,1,3,17,1,5,0,0,1,1,2
3317,0,7,49,0,7,1,8,4,0,3
3318,0,7,49,0,7,1,8,4,0,3
3319,0,6,36,0,6,1,8,4,0,3
3320,1,3,18,1,6,0,0,1,1,2
3321,0,8,59,1,7,1,0,2,0,2
3322,0,7,48,0,6,0,9,4,0,2
3323,0,5,22,0,4,0,1,1,0,2
3324,0,4,23,0,5,0,0,1,0,2
3325,0,5,21,0,4,0,0,1,0,2
3326,0,6,34,0,5,1,0,3,1,2
3327,0,4,18,1,4,0,0,3,0,2
3328,0,9,62,0,6,2,4,1,0,2
3329,0,3,11,0,3,0,0,2,0,3
3330,0,3,15,1,5,0,1,4,0,3
3331,0,2,10,0,5,0,0,1,0,3
3332,0,2,7,0,3,0,0,1,0,3
3333,0,2,5,1,2,0,0,3,0,0
3334,0,2,7,0,3,0,0,1,0,3
3335,1,2,14,0,7,1,0,0,0,2
3336,0,4,24,1,6,1,5,2,0,3
3337,0,5,25,1,5,1,5,2,0,3
3338,0,10,54,1,5,2,1,3,0,3
3339,1,3,22,1,7,0,0,1,1,2
3340,0,9,49,1,5,3,6,4,0,3
3341,0,10,41,0,4,2,6,6,0,3
3342,0,8,37,0,4,1,8,4,0,3
3343,0,8,36,0,4,1,8,4,0,3
3344,1,3,18,1,6,0,0,1,1,2
3345,0,6,34,0,5,0,0,2,1,2
3346,0,12,66,0,5,0,4,9,1,2
3347,0,1,19,1,19,0,6,7,0,3
3348,0,5,26,0,5,1,8,3,1,2
3349,0,4,31,0,7,0,0,2,1,2
3350,0,3,20,0,6,0,0,1,1,2
3351,0,10,62,1,6,0,0,7,1,2
3352,0,8,54,1,6,1,0,3,1,2
3353,0,3,14,0,4,0,0,1,0,0
3354,0,5,45,0,9,0,15,5,0,0
3355,0,6,61,0,10,0,0,8,0,2
3356,0,3,22,1,7,0,0,3,0,0
3357,0,1,6,1,6,0,0,1,0,0
3358,0,2,17,0,8,0,6,1,0,0
3359,1,1,9,0,9,0,0,0,1,0
3360,0,20,126,1,6,13,0,1,1,2
3361,0,17,119,1,7,7,0,2,1,2
3362,1,1,9,0,9,0,0,0,1,0
3363,0,4,30,1,7,0,0,2,1,3
3364,0,7,42,1,6,1,4,2,0,2
3365,1,4,27,1,6,0,0,2,1,3
3366,0,8,45,0,5,1,4,4,0,2
3367,0,11,72,0,6,4,0,0,0,2
3368,0,6,39,1,6,1,4,2,0,2
3369,0,5,39,1,7,0,0,2,1,2
3370,0,3,16,0,5,0,4,2,0,2
3371,0,3,16,0,5,0,4,2,0,2
3372,1,1,10,0,10,0,0,0,1,0
3373,0,14,85,0,6,2,0,4,0,3
3374,0,15,91,0,6,6,4,4,1,3
3375,0,6,43,1,7,0,0,3,0,2
3376,0,14,87,0,6,6,4,3,1,3
3377,0,5,32,1,6,0,0,5,0,2
3378,0,15,80,0,5,6,4,3,1,3
3379,0,7,36,1,5,0,0,9,0,2
3380,1,2,12,1,6,0,0,1,1,0
3381,0,7,47,0,6,1,0,1,0,3
3382,0,3,17,0,5,0,0,1,0,3
3383,0,6,37,0,6,2,0,1,0,3
3384,0,4,29,0,7,0,0,1,0,3
3385,0,12,81,0,6,4,0,3,1,3
3386,0,7,38,0,5,1,0,1,0,3
3387,0,8,47,0,5,2,0,1,0,3
3388,0,7,44,0,6,1,0,1,0,3
3389,0,6,39,0,6,1,0,2,0,3
3390,0,3,21,0,7,0,0,1,0,3
3391,0,6,35,0,5,1,0,1,0,3
3392,0,11,73,0,6,3,0,2,1,3
3393,1,2,16,1,8,0,0,1,1,0
3394,0,16,95,1,5,7,0,3,1,2
3395,0,1,1,1,1,0,0,1,0,3
3396,1,2,17,1,8,0,0,1,1,0
3397,0,6,33,0,5,1,5,2,1,2
